Mês,Escola,CodEscola,Nome Funcionario,CodFuncionario,Categoria,CodDisciplina,Disciplina,inicio do periodo,final do periodo,DiasTrabalhados,CHSuprimento,CHDiaria,CHPeriodo
Fevereiro,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,601,EDUCACAO FISICA,45694,45716,23,8,"1,142857","26,285711"
Março,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,601,EDUCACAO FISICA,45717,45735,19,8,"1,142857","21,71428"
Março,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,601,EDUCACAO FISICA,45736,45747,12,22,"3,142857","37,71428"
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,601,EDUCACAO FISICA,45748,45752,5,28,4,20
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,601,EDUCACAO FISICA,45753,45776,24,14,2,48
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,601,EDUCACAO FISICA,45777,45777,1,28,4,4
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,601,EDUCACAO FISICA,45748,45752,5,16,"2,285714","11,42857"
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,601,EDUCACAO FISICA,45753,45753,1,8,"1,142857","1,142857"
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,601,EDUCACAO FISICA,45754,45776,23,10,"1,428571","32,857133"
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,601,EDUCACAO FISICA,45777,45777,1,20,"2,857142","2,857142"
Fevereiro,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,6279,LITER ART E MOVIMENTO I,45698,45716,19,3,"0,428571","8,142849"
Março,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,6279,LITER ART E MOVIMENTO I,45717,45747,31,3,"0,428571","13,2857"
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,6279,LITER ART E MOVIMENTO I,45748,45752,5,6,"0,857142","4,28571"
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,6279,LITER ART E MOVIMENTO I,45753,45753,1,3,"0,428571","0,428571"
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,6279,LITER ART E MOVIMENTO I,45754,45776,23,5,"0,714285","16,428555"
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,6279,LITER ART E MOVIMENTO I,45777,45777,1,10,"1,428571","1,428571"
Março,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,790,ESTUDO ORIENTADO,45736,45747,12,4,"0,571428","6,857136"
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,790,ESTUDO ORIENTADO,45748,45752,5,8,"1,142857","5,714285"
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,790,ESTUDO ORIENTADO,45753,45776,24,4,"0,571428","13,714272"
Abril,ESCOLA U ,ABC20,Adriana Leite,579,REGENCIA,790,ESTUDO ORIENTADO,45777,45777,1,8,"1,142857","1,142857"
Fevereiro,ESCOLA Y,ABC22,Adriana Zambrano,646,REGENCIA,2125,LEG AGRARIA E AMBIENTAL,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA Y,ABC22,Adriana Zambrano,646,REGENCIA,2125,LEG AGRARIA E AMBIENTAL,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA Y,ABC22,Adriana Zambrano,646,REGENCIA,2125,LEG AGRARIA E AMBIENTAL,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA Y,ABC22,Adriana Zambrano,646,REGENCIA,4752,GESTAO EM ZOOTECNIA,45691,45716,26,8,"1,142857","29,714282"
Março,ESCOLA Y,ABC22,Adriana Zambrano,646,REGENCIA,4752,GESTAO EM ZOOTECNIA,45717,45747,31,8,"1,142857","35,42857"
Abril,ESCOLA Y,ABC22,Adriana Zambrano,646,REGENCIA,4752,GESTAO EM ZOOTECNIA,45748,45777,30,8,"1,142857","34,28571"
Fevereiro,ESCOLA AF,ABC29,Adriano Ferreira Zanatta,458,NAO REGENCIA,9316,EQUIPE PEDAGOGICA,45691,45716,26,40,"5,714285","148,57141"
Março,ESCOLA AF,ABC29,Adriano Ferreira Zanatta,458,NAO REGENCIA,9316,EQUIPE PEDAGOGICA,45717,45747,31,40,"5,714285","177,1428"
Abril,ESCOLA AF,ABC29,Adriano Ferreira Zanatta,458,NAO REGENCIA,9316,EQUIPE PEDAGOGICA,45748,45777,30,40,"5,714285","171,42855"
Fevereiro,ESCOLA D ,ABC4,Ailton Lima Quirino,136,REGENCIA,106,LINGUA PORTUGUESA,45691,45716,26,22,"3,142857","81,714282"
Março,ESCOLA D ,ABC4,Ailton Lima Quirino,136,REGENCIA,106,LINGUA PORTUGUESA,45717,45747,31,22,"3,142857","97,42857"
Abril,ESCOLA D ,ABC4,Ailton Lima Quirino,136,REGENCIA,106,LINGUA PORTUGUESA,45748,45777,30,22,"3,142857","94,28571"
Fevereiro,ESCOLA D ,ABC4,Ailton Lima Quirino,136,REGENCIA,6366,REDACAO E LEITURA I,45691,45716,26,20,"2,857142","74,285692"
Março,ESCOLA D ,ABC4,Ailton Lima Quirino,136,REGENCIA,6366,REDACAO E LEITURA I,45717,45732,16,20,"2,857142","45,71427"
Março,ESCOLA D ,ABC4,Ailton Lima Quirino,136,REGENCIA,6366,REDACAO E LEITURA I,45733,45747,15,18,"2,571428","38,57142"
Abril,ESCOLA D ,ABC4,Ailton Lima Quirino,136,REGENCIA,6366,REDACAO E LEITURA I,45748,45777,30,18,"2,571428","77,14284"
Fevereiro,ESCOLA M,ABC13,Ailton Lima Viana,873,REGENCIA,401,GEOGRAFIA,45691,45716,26,6,"0,857142","22,285692"
Março,ESCOLA M,ABC13,Ailton Lima Viana,873,REGENCIA,401,GEOGRAFIA,45717,45747,31,6,"0,857142","26,5714"
Abril,ESCOLA M,ABC13,Ailton Lima Viana,873,REGENCIA,401,GEOGRAFIA,45748,45777,30,6,"0,857142","25,71426"
Fevereiro,ESCOLA M,ABC13,Ailton Lima Viana,873,REGENCIA,4191,ADM FINANC E ORCAMENTARIA,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA M,ABC13,Ailton Lima Viana,873,REGENCIA,4191,ADM FINANC E ORCAMENTARIA,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA M,ABC13,Ailton Lima Viana,873,REGENCIA,4191,ADM FINANC E ORCAMENTARIA,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA M,ABC13,Ailton Lima Viana,873,REGENCIA,4767,TECNOLOGIAS E FERRAM DE GESTAO,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA M,ABC13,Ailton Lima Viana,873,REGENCIA,4767,TECNOLOGIAS E FERRAM DE GESTAO,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA M,ABC13,Ailton Lima Viana,873,REGENCIA,4767,TECNOLOGIAS E FERRAM DE GESTAO,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA M,ABC13,Ailton Lima Viana,873,REGENCIA,4770,CONTROLADORIA E FINANCAS,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA M,ABC13,Ailton Lima Viana,873,REGENCIA,4770,CONTROLADORIA E FINANCAS,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA M,ABC13,Ailton Lima Viana,873,REGENCIA,4770,CONTROLADORIA E FINANCAS,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA M,ABC13,Ailton Lima Viana,873,NAO REGENCIA,9220,COORD DE CURSO,45691,45716,26,10,"1,428571","37,142846"
Março,ESCOLA M,ABC13,Ailton Lima Viana,873,NAO REGENCIA,9220,COORD DE CURSO,45717,45747,31,10,"1,428571","44,2857"
Abril,ESCOLA M,ABC13,Ailton Lima Viana,873,NAO REGENCIA,9220,COORD DE CURSO,45748,45777,30,10,"1,428571","42,85713"
Fevereiro,ESCOLA G,ABC7,Ailton Nakashima,161,REGENCIA,2385,GEOGRAFIA I,45691,45716,26,2,"0,285714","7,428564"
